Corsair Vengeance LPX 16 GB,45.99,43200,2.874,10,16
Corsair Vengeance 32 GB,117.99,55600,3.687,12.857,36
G.Skill Trident Z5 RGB 32 GB,117.99,56000,3.687,12,36
Corsair Vengeance RGB Pro 32 GB,97.99,43600,3.062,10,18
G.Skill Trident Z5 RGB 64 GB,217.99,56400,3.406,10,32
Corsair Vengeance LPX 32 GB,81.99,43600,2.562,10,18
Corsair Vengeance RGB 32 GB,127.99,56000,4,12,36
TEAMGROUP T-Force Delta RGB 32 GB,106.99,56000,3.343,10,30
Corsair Vengeance 32 GB,114.99,56000,3.593,10,30
G.Skill Flare X5 32 GB,106.99,56000,3.343,12,36
Corsair Vengeance RGB Pro 16 GB,54.99,43200,3.437,10,16
TEAMGROUP T-Force Delta RGB 32 GB,106.99,56000,3.343,10,30
Corsair Vengeance 16 GB,68.98,55200,4.311,15.385,40
Silicon Power GAMING 16 GB,34.97,43200,2.186,10,16
Corsair Vengeance RGB 32 GB,134.99,56000,4.218,13.333,40
G.Skill Trident Z5 Neo RGB 32 GB,112.99,56000,3.531,10,30
Corsair Vengeance LPX 16 GB,40.99,43600,2.562,10,18
G.Skill Ripjaws S5 32 GB,109.43,56000,3.42,10,30
Corsair Vengeance 64 GB,169.99,55200,2.656,15.385,40
G.Skill Ripjaws V 16 GB,39.99,43200,2.499,10,16
G.Skill Ripjaws V 32 GB,69.98,43200,2.187,10,16
G.Skill Flare X5 32 GB,106.99,56000,3.343,10,30
Corsair Vengeance LPX 32 GB,74.98,43200,2.343,10,16
TEAMGROUP T-Create Expert 32 GB,102.99,56000,3.218,10,30
Corsair Vengeance RGB 32 GB,109.99,56000,3.437,12,36
Corsair Vengeance RGB Pro SL 32 GB,86.86,43600,2.714,10,18
Corsair Dominator Titanium 64 GB,309.99,56600,4.844,9.697,32
TEAMGROUP T-Force Vulcan Z 16 GB,35.99,43200,2.249,10,16
Silicon Power GAMING 32 GB,53.97,43200,1.687,10,16
Corsair Vengeance 32 GB,102.99,55200,3.218,15.385,40
G.Skill Ripjaws S5 32 GB,104.49,56000,3.265,12,36
G.Skill Flare X5 32 GB,96.9,56000,3.028,10.667,32
Kingston FURY Beast 16 GB,47.72,43200,2.982,10,16
G.Skill Ripjaws V 16 GB,3914.75,44800,244.672,7.083,17
G.Skill Trident Z5 Neo 64 GB,209.99,56000,3.281,10,30
Corsair Vengeance RGB Pro 256 GB,1055.06,43200,4.121,10,16
Corsair Vengeance RGB 64 GB,224.99,56000,3.515,10,30
Silicon Power Value Gaming 32 GB,97.97,56000,3.062,10,30
Corsair Vengeance RGB Pro 16 GB,62.99,43200,3.937,10,16
Corsair Vengeance LPX 64 GB,129.99,43200,2.031,10,16
G.Skill Trident Z5 RGB 32 GB,132.99,57200,4.156,9.444,34
Corsair Vengeance RGB 128 GB,439.99,55600,3.437,14.286,40
Corsair Vengeance RGB 32 GB,124.99,56000,3.906,10,30
TEAMGROUP T-Force Vulcan Z 32 GB,59.99,43600,1.875,10,18
G.Skill Trident Z RGB 32 GB,84.99,43200,2.656,10,16
TEAMGROUP T-Force Vulcan Z 32 GB,55.99,43200,1.75,10,16
Kingston FURY Beast 32 GB,119.99,56000,3.75,12,36
G.Skill Ripjaws V 16 GB,43.99,43600,2.749,8.889,16
Kingston FURY Beast 16 GB,71.99,56000,4.499,13.333,40
TEAMGROUP T-Force Delta RGB 32 GB,69.98,43600,2.187,10,18
G.Skill Trident Z5 RGB 32 GB,112.99,56400,3.531,10,32
Corsair Vengeance 64 GB,214.51,56400,3.352,10,32
